object_name,luminosity,star_color,koi_pdisposition,koi_disposition
OBJECT NAME WASN'T RECORDED,5.2715570395981055e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-1511 b,1.860233657008824e+27,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.860233657008824e+27,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,1.1486543628380511e+28,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-1512 b,5.576720719401089e+24,Red,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.6953802368103547e+27,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,6.509387083462589e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.37443174324508e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.4258280390848101e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.0586635174849632e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.7756220564374526e+26,Yellow-white,CANDIDATE,CANDIDATE
Kepler-969 c,1.755274823879765e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,7.09810792089662e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-1477 b,1.563105406475956e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.9862573407234015e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,5.18567102696419e+26,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,3.847668353092139e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-1478 b,3.2923790094359836e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.2454777108249377e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.193591370494487e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1496 b,7.705563783744017e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.4339154159414005e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,2.469181970288031e+27,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-1497 b,4.4339154159414005e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.1005774292247276e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,,Red,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.2817415134593646e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-953 c,3.935737511902096e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.3302398229429476e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1927 b,2.85537137800606e+27,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.85537137800606e+27,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,4.6587925197749274e+27,White,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.202555642221127e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.3048473706751125e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.455305704404425e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.18161817051881e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.501365671285155e+28,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.2272459615750007e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,1.585188849603032e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1696 b,4.069993430538847e+26,Yellow,CANDIDATE,CONFIRMED
